Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
PERRYDALE SD 21,Amity,OR,10870,10484,6658
PHILOMATH SD 17J,Philomath,OR,10910,8707,5208
PHOENIX-TALENT SD 4,Phoenix,OR,9865,9101,5060
PILOT ROCK SD 2,Pilot Rock,OR,11871,10444,5790
PINE CREEK SD 5,Drewsey,OR,34600,33400,9600
PINE EAGLE SD 61,Halfway,OR,17027,16087,8875
PINEHURST SD 94,Ashland,OR,14882,13265,6265
PLEASANT HILL SD 1,Pleasant Hill,OR,12242,9798,5720
PORT ORFORD-LANGLOIS SD 2CJ,Port Orford,OR,18714,17424,8810
PORTLAND SD 1J,Portland,OR,14434,11835,6841
POWERS SD 31,Powers,OR,13820,13632,9165
PRAIRIE CITY SD 4,Prairie City,OR,14980,14304,8250
PROSPECT SD 59,Prospect,OR,12469,12395,7123
RAINIER SD 13,Rainier,OR,11382,10205,5423
REDMOND SD 2J,Redmond,OR,10208,8502,4933
REEDSPORT SD 105,Reedsport,OR,12713,7603,3543
REYNOLDS SD 7,Fairview,OR,11339,9884,5625
RIDDLE SD 70,Riddle,OR,12146,11714,6854
RIVERDALE SD 51J,Portland,OR,15816,14692,9083
ROGUE RIVER SD 35,Rogue River,OR,11097,9622,5239
SALEM-KEIZER SD 24J,Salem,OR,11233,10089,6191
SANTIAM CANYON SD 129J,Mill City,OR,10941,10196,6009
SCAPPOOSE SD 1J,Scappoose,OR,9588,8179,5075
SCIO SD 95,Scio,OR,7811,2364,1505
SEASIDE SD 10,Seaside,OR,11437,11231,6893
SHERIDAN SD 48J,Sheridan,OR,11081,9145,5554
SHERMAN COUNTY SD,Moro,OR,17538,14426,7120
SHERWOOD SD 88J,Sherwood,OR,10326,8781,5272
SILVER FALLS SD 4J,Silverton,OR,10612,9467,5605
SISTERS SD 6,Sisters,OR,11490,10360,6046
SIUSLAW SD 97J,Florence,OR,11257,10364,6325
SOUTH HARNEY SD 33,Denio,OR,29154,24923,10462
SOUTH LANE SD 45J3,Cottage Grove,OR,11391,10423,5474
SOUTH UMPQUA SD 19,Myrtle Creek,OR,10217,9361,5044
SOUTH WASCO COUNTY SD 1,Maupin,OR,15381,15205,8219
SPRAY SD 1,Spray,OR,27205,26818,14523
SPRINGFIELD SD 19,Springfield,OR,10578,9393,5713
ST HELENS SD 502,St Helens,OR,10302,8912,5278
ST PAUL SD 45,St Paul,OR,13455,12495,8125
STANFIELD SD 61,Stanfield,OR,10945,10243,6231
SUNTEX SD 10,Hines,OR,20133,19733,11533
SUTHERLIN SD 130,Sutherlin,OR,10094,9444,5815
SWEET HOME SD 55,Sweet Home,OR,10066,8461,4830
THREE RIVERS/JOSEPHINE COUNTY SD,Murphy,OR,11434,10651,5905
TIGARD-TUALATIN SD 23J,Tigard,OR,10488,9655,6199
TILLAMOOK SD 9,Tillamook,OR,11574,10567,6144
TROY SD 54,Enterprise,OR,46250,46250,28250
UKIAH SD 80R,Ukiah,OR,21318,21295,10614
UMATILLA SD 6R,Umatilla,OR,14794,10285,6467
UNION SD 5,Union,OR,10938,10555,6249
VALE SD 84,Vale,OR,11229,10701,6847
VERNONIA SD 47J,Vernonia,OR,13866,11643,6503
WALLOWA SD 12,Wallowa,OR,14695,13335,7858
WARRENTON-HAMMOND SD 30,Warrenton,OR,10882,10387,6710
WEST LINN-WILSONVILLE SD 3J,Tualatin,OR,10589,9202,5782
WILLAMINA SD 30J,Willamina,OR,11998,10477,6001
WINSTON-DILLARD SD 116,Winston,OR,10083,9091,5321
WOODBURN SD 103,Woodburn,OR,11427,10917,6096
YAMHILL CARLTON SD 1,Yamhill,OR,10276,9445,5517
YONCALLA SD 32,Yoncalla,OR,13695,13060,7242
21ST CENTURY CYBER CS,Downingtown,PA,10280,9523,5619
ABINGTON HEIGHTS SD,Clarks Summit,PA,13773,12919,8487
ABINGTON SD,Abington,PA,17762,16355,9998
ACADEMY CS,Pittsburgh,PA,24449,24449,12868
ACHIEVEMENT HOUSE CS,Exton,PA,12832,12337,6086
ACT ACADEMY CYBER CS,Philadelphia,PA,20436,15773,8191
AD PRIMA CS,Philadelphia,PA,10918,10846,5843
AGORA CYBER CS,King of Prussia,PA,15997,15936,9926
ALBERT GALLATIN AREA SD,Uniontown,PA,14706,12298,6779
ALIQUIPPA SD,Aliquippa,PA,19018,14842,8635
ALLEGHENY VALLEY SD,Cheswick,PA,20497,18108,10274
ALLEGHENY-CLARION VALLEY SD,Foxburg,PA,21581,16921,9719
ALLENTOWN CITY SD,Allentown,PA,15411,11636,7615
ALLIANCE FOR PROGRESS CS,Philadelphia,PA,11060,10876,5664
ALTOONA AREA SD,Altoona,PA,12034,10725,6441
AMBRIDGE AREA SD,Ambridge,PA,15479,12512,7710
ANNVILLE-CLEONA SD,Annville,PA,14127,11721,6867
ANTIETAM SD,Reading,PA,14941,12634,7502
ANTONIA PANTOJA COMMUNITY CHARTER SCHOOL,Philadelphia,PA,14108,13757,9661
APOLLO-RIDGE SD,Spring Church,PA,16224,13604,8245
ARMSTRONG SD,Kittanning,PA,22948,14610,9456
ARTS ACADEMY CS,Allentown,PA,11123,10885,5700
ASPIRA BILINGUAL CYBER CHARTER SCHOOL,Philadelphia,PA,15791,14007,9108
ATHENS AREA SD,Athens,PA,15772,14000,8725
AUSTIN AREA SD,Austin,PA,21632,16622,10234
AVELLA AREA SD,Avella,PA,18400,15385,9194
AVON GROVE CS,West Grove,PA,12752,10680,7392
AVON GROVE SD,West Grove,PA,15287,12260,7813
AVONWORTH SD,Pittsburgh,PA,17861,14407,9040
BADEN ACADEMY CS,Baden,PA,11467,10746,5852
BALD EAGLE AREA SD,Wingate,PA,17244,14177,8445
BALDWIN-WHITEHALL SD,Pittsburgh,PA,16127,13451,7885
BANGOR AREA SD,Bangor,PA,16062,14112,8479
BEAR CREEK COMMUNITY CS,Bear Creek Township,PA,24987,9314,4985
BEAVER AREA ACADEMIC CS,Beaver,PA,11889,8848,7343
BEAVER AREA SD,Beaver,PA,14816,11931,6671
BEDFORD AREA SD,Bedford,PA,15324,12208,6926
BELLE VERNON AREA SD,Belle Vernon,PA,14467,12039,7625
BELLEFONTE AREA SD,Bellefonte,PA,16120,13818,8107
BELLWOOD-ANTIS SD,Bellwood,PA,12138,10975,6673
BELMONT CHARTER SCHOOL,Philadelphia,PA,12195,10629,6985
BENSALEM TOWNSHIP SD,Bensalem,PA,24340,15914,9463
BENTON AREA SD,Benton,PA,14991,13179,7914
BENTWORTH SD,Bentleyville,PA,13636,11745,7116
BERLIN BROTHERSVALLEY SD,Berlin,PA,13574,11951,7110
BERMUDIAN SPRINGS SD,York Springs,PA,12771,10500,6569
BERWICK AREA SD,Berwick,PA,15953,12835,8445
BETHEL PARK SD,Bethel Park,PA,18707,15328,10179
BETHLEHEM AREA SD,Bethlehem,PA,16999,12584,7937
BETHLEHEM-CENTER SD,Fredericktown,PA,15418,13784,7560
BIG BEAVER FALLS AREA SD,Beaver Falls,PA,15376,13452,7669
BIG SPRING SD,Newville,PA,16368,13288,8217
BLACKHAWK SD,Beaver Falls,PA,14187,12454,7762
BLACKLICK VALLEY SD,Nanty Glo,PA,23767,13470,7661
BLAIRSVILLE-SALTSBURG SD,Blairsville,PA,19673,16288,9018
BLOOMSBURG AREA SD,Bloomsburg,PA,13930,11913,7267
BLUE MOUNTAIN SD,Orwigsburg,PA,13457,11901,7033
BLUE RIDGE SD,New Milford,PA,14449,13002,7825
BOYERTOWN AREA SD,Boyertown,PA,15511,12668,8092
BOYS LATIN OF PHILADELPHIA CS,Philadelphia,PA,12553,11705,7398
BRADFORD AREA SD,Bradford,PA,14681,12438,7409
BRANDYWINE HEIGHTS AREA SD,Topton,PA,17572,15627,9934
BRENTWOOD BOROUGH SD,Pittsburgh,PA,17146,14999,9698
BRISTOL BOROUGH SD,Bristol,PA,17921,14028,9627
BRISTOL TOWNSHIP SD,Levittown,PA,28830,15881,9856
BROCKWAY AREA SD,Brockway,PA,14507,13216,8055
BROOKVILLE AREA SD,Brookville,PA,13706,12105,6766
BROWNSVILLE AREA SD,Brownsville,PA,17298,12839,7348
BUCKS COUNTY MONTESSORI CS,Fairless Hills,PA,12724,12628,6740
BURGETTSTOWN AREA SD,Burgettstown,PA,16262,12705,7497
BURRELL SD,Lower Burrell,PA,14597,12610,7401
BUTLER AREA SD,Butler,PA,13507,11627,7360
CALIFORNIA AREA SD,Coal Center,PA,15667,12100,6959
CAMBRIA HEIGHTS SD,Patton,PA,12896,12033,7459
CAMERON COUNTY SD,Emporium,PA,19214,15157,9286
CAMP HILL SD,Camp Hill,PA,14630,12569,8026
CANON-MCMILLAN SD,Canonsburg,PA,13559,10856,6343
CANTON AREA SD,Canton,PA,15610,13147,8528
CAPITAL AREA SCHOOL FOR THE ARTS CHARTER SCHOOL,Harrisburg,PA,11511,11427,6691
CARBONDALE AREA SD,Carbondale,PA,14540,11393,7919
CARLISLE AREA SD,Carlisle,PA,14485,12234,7202
CARLYNTON SD,Carnegie,PA,20295,16574,10156
CARMICHAELS AREA SD,Carmichaels,PA,26594,11620,6619
CATASAUQUA AREA SD,Catasauqua,PA,17466,14052,8684
CENTENNIAL SD,Warminster,PA,19197,15745,10222
CENTER FOR STUDENT LEARNING CS AT PENNSBURY,Levittown,PA,18019,16975,8123
CENTRAL BUCKS SD,Doylestown,PA,15031,12559,8035
CENTRAL CAMBRIA SD,Ebensburg,PA,13301,11693,7098
CENTRAL COLUMBIA SD,Bloomsburg,PA,27332,12788,7814
CENTRAL DAUPHIN SD,Harrisburg,PA,15062,12651,8113
CENTRAL FULTON SD,McConnellsburg,PA,14040,12086,7660
CENTRAL GREENE SD,Waynesburg,PA,18075,14889,9264
CENTRAL PA DIGITAL LEARNING FOUNDATION CS,Hollidaysburg,PA,13271,12691,7619
CENTRAL VALLEY SD,Monaca,PA,14007,12061,7508
CENTRAL YORK SD,York,PA,12723,11002,7048
CENTRE LEARNING COMMUNITY CS,State College,PA,14490,13643,10571
CHAMBERSBURG AREA SD,Chambersburg,PA,14097,11529,6973
CHARLEROI SD,Charleroi,PA,12335,10938,6752
CHARTER HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,Philadelphia,PA,13478,13200,6512
CHARTIERS VALLEY SD,Pittsburgh,PA,17770,15876,10080
CHARTIERS-HOUSTON SD,Houston,PA,14409,12384,6838
Cheltenham SD,Elkins Park,PA,26339,18563,11609
CHESTER CO FAMILY ACADEMY CS,West Chester,PA,13978,12440,5824
CHESTER COMMUNITY CS,Chester,PA,20741,19184,6190
CHESTER CS FOR THE ARTS,Chester,PA,12736,11910,7394
CHESTER-UPLAND SD,Chester,PA,38018,16033,8526
CHESTNUT RIDGE SD,Fishertown,PA,12224,11237,6377
CHICHESTER SD,Aston,PA,19651,16711,10081
CHRISTOPHER COLUMBUS CS,Philadelphia,PA,11079,10978,7228
CIRCLE OF SEASONS CHARTER SCHOOL,Fogelsville,PA,15753,11994,6469
CITY CHS,Pittsburgh,PA,16505,15530,9104
CLAIRTON CITY SD,Clairton,PA,19156,16118,9932
CLARION AREA SD,Clarion,PA,14730,12913,7723
CLARION-LIMESTONE AREA SD,Strattanville,PA,15311,13348,8125
CLAYSBURG-KIMMEL SD,Claysburg,PA,12416,10908,6105
CLEARFIELD AREA SD,Clearfield,PA,17380,12527,7373
COATESVILLE AREA SD,Thorndale,PA,22592,14512,8612
COCALICO SD,Denver,PA,17055,13385,8302
COLLEGIUM CS,Exton,PA,13487,12051,7709
COLONIAL SD,Plymouth Meeting,PA,21493,19273,12758
COLUMBIA BOROUGH SD,Columbia,PA,16306,11845,7209
COMMODORE PERRY SD,Hadley,PA,16075,14594,8767
Commonwealth Charter Academy CS,Harrisburg,PA,12507,10965,6930
COMMUNITY ACADEMY OF PHILADELPHIA CS,Philadelphia,PA,12471,11596,5596
CONEMAUGH TOWNSHIP AREA SD,Davidsville,PA,14690,11791,6894
CONEMAUGH VALLEY SD,Johnstown,PA,15342,12290,7052
CONESTOGA VALLEY SD,Lancaster,PA,14077,11754,7715
CONEWAGO VALLEY SD,New Oxford,PA,12489,10691,7265
CONNEAUT SD,Linesville,PA,17128,13583,7187
CONNELLSVILLE AREA SD,Connellsville,PA,16923,14772,8900
CONRAD WEISER AREA SD,Robesonia,PA,15556,13366,8665
CORNELL SD,Coraopolis,PA,19555,15840,9393
CORNWALL-LEBANON SD,Lebanon,PA,14155,12441,7942
CORRY AREA SD,Corry,PA,13284,12009,7126
COUDERSPORT AREA SD,Coudersport,PA,14205,11405,6509
COUNCIL ROCK SD,Newtown,PA,18994,16929,11678
CRANBERRY AREA SD,Seneca,PA,16129,14057,8734
CRAWFORD CENTRAL SD,Meadville,PA,13953,11869,7312
CRESTWOOD SD,Mountain Top,PA,12387,10924,7419
CUMBERLAND VALLEY SD,Mechanicsburg,PA,13155,11126,6578
CURWENSVILLE AREA SD,Curwensville,PA,14274,12411,7673
DALLAS SD,Dallas,PA,13465,11086,7143
DALLASTOWN AREA SD,Dallastown,PA,15066,13159,8852
DANIEL BOONE AREA SD,Douglassville,PA,14595,12413,8084
DANVILLE AREA SD,Danville,PA,16623,13074,8202
DEER LAKES SD,Cheswick,PA,16156,13627,7606
DELAWARE VALLEY SD,Milford,PA,16551,14181,9426
DERRY AREA SD,Derry,PA,14849,12482,7372
DERRY TOWNSHIP SD,Hershey,PA,17106,13838,8249
DISCOVERY CHARTER SCHOOL,Porter,PA,10846,9406,6288
DONEGAL SD,Mount Joy,PA,15043,11458,7284
DOVER AREA SD,Dover,PA,14786,12155,7702
DOWNINGTOWN AREA SD,Downingtown,PA,16363,13166,8318
DUBOIS AREA SD,DuBois,PA,13994,12451,7377
DUNMORE SD,Dunmore,PA,12478,10915,7173
DUQUESNE CITY SD,Duquesne,PA,46759,24023,11728
EAST ALLEGHENY SD,North Versailles,PA,19612,15014,8536
EAST LYCOMING SD,Hughesville,PA,14529,12001,7354
EAST PENN SD,Emmaus,PA,14773,12941,8152
EAST PENNSBORO AREA SD,Enola,PA,13510,11541,7618
EAST STROUDSBURG AREA SD,East Stroudsburg,PA,20722,16352,10094
EASTERN LANCASTER COUNTY SD,New Holland,PA,15436,13129,7548
EASTERN LEBANON COUNTY SD,Myerstown,PA,13954,12195,7462
EASTERN UNIVERSITY ACADEMY CHARTER SCHOOL,Philadelphia,PA,12691,12652,6085
EASTERN YORK SD,Wrightsville,PA,15922,13258,8611
EASTON AREA SD,Easton,PA,14646,12073,7569
EDUCATION PLUS ACADEMY CYBER CS,Wayne,PA,17569,15501,10509
ELIZABETH FORWARD SD,Elizabeth,PA,16129,14812,9283
ELIZABETHTOWN AREA SD,Elizabethtown,PA,13749,11676,7419
ELK LAKE SD,Springville,PA,17539,13456,8543
ELLWOOD CITY AREA SD,Ellwood City,PA,15139,12755,7693
ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Pittsburgh,PA,25194,15334,7503
EPHRATA AREA SD,Ephrata,PA,14015,11593,7119
ERIE CITY SD,Erie,PA,15465,12349,7741
ERIE RISE LEADERSHIP ACADEMY CHARTER SCHOOL,Erie,PA,11490,10714,5718
ESPERANZA ACADEMY CHARTER SCHOOL,Philadelphia,PA,14074,12510,5915
ESPERANZA CYBER CS,Philadelphia,PA,14791,13518,6773
EUGENIO MARIA DE HOSTOS CS,Philadelphia,PA,17368,16823,9393
EVERETT AREA SD,EVERETT,PA,14604,11929,7277
EVERGREEN COMMUNITY CS,Mountainhome,PA,13443,13113,8753
EXECUTIVE EDUCATION ACADEMY CHARTER SCHOOL,Allentown,PA,11600,11439,5090
EXETER TOWNSHIP SD,Reading,PA,16433,13071,8457
FAIRFIELD AREA SD,Fairfield,PA,14970,12307,7459
FAIRVIEW SD,Fairview,PA,13379,11712,7006
FANNETT-METAL SD,Willow Hill,PA,14994,13118,7508
FARRELL AREA SD,Farrell,PA,28185,25148,18248
FELL CS,Simpson,PA,11494,9963,5945
FERNDALE AREA SD,Johnstown,PA,16162,14393,8000
FIRST PHILADELPHIA PREPARATORY CHARTER SCHOOL,Philadelphia,PA,12783,12164,5255
FLEETWOOD AREA SD,Fleetwood,PA,15328,13018,8322
FOLK ARTS-CULTURAL TREASURES CS,Philadelphia,PA,12761,12399,6888
FORBES ROAD SD,Waterfall,PA,17696,15462,8641
FOREST AREA SD,Tionesta,PA,24993,21649,11729
FOREST CITY REGIONAL SD,Forest City,PA,16350,14974,9463
FOREST HILLS SD,Sidman,PA,16354,11677,7121
FORT CHERRY SD,Mc Donald,PA,18783,14262,8610
FORT LEBOEUF SD,Waterford,PA,13191,11885,7261
FOX CHAPEL AREA SD,Pittsburgh,PA,24930,18298,12167
FRANKLIN AREA SD,Franklin,PA,15434,13451,8174
FRANKLIN REGIONAL SD,Murrysville,PA,14573,12676,8080
FRANKLIN TOWNE CHARTER ELEMENTARY SCHOOL,Philadelphia,PA,10122,8698,4355
FRANKLIN TOWNE CHS,Philadelphia,PA,10620,9575,4906
FRAZIER SD,Perryopolis,PA,22852,10868,6295
FREDERICK DOUGLASS MASTERY CHARTER SCHOOL,Philadelphia,PA,14729,13534,9912
FREEDOM AREA SD,Freedom,PA,22051,12715,7619
FREEPORT AREA SD,Freeport,PA,25944,12626,7624
FREIRE CS,Philadelphia,PA,12027,11714,6227
GALETON AREA SD,Galeton,PA,19522,17274,10487
GARNET VALLEY SD,Glen Mills,PA,18884,16805,11476
GATEWAY SD,Monroeville,PA,20193,17259,10803
GENERAL MCLANE SD,Edinboro,PA,13647,11341,6974
GETTYSBURG AREA SD,Gettysburg,PA,20836,14733,8870
GETTYSBURG MONTESSORI CHARTER SCHOOL,Gettysburg,PA,10870,10568,6734
GILLINGHAM CHARTER SCHOOL,Pottsville,PA,12324,11296,7435
GIRARD SD,Girard,PA,14916,11968,7454
GLENDALE SD,Flinton,PA,15000,13490,7861
GLOBAL LEADERSHIP ACADEMY CS,Philadelphia,PA,10713,9463,5338
GOVERNOR MIFFLIN SD,Shillington,PA,14806,12746,7951
GREAT VALLEY SD,Malvern,PA,22711,17435,10852
GREATER JOHNSTOWN SD,Johnstown,PA,15988,13645,8879
GREATER LATROBE SD,Latrobe,PA,16077,10568,6621
GREATER NANTICOKE AREA SD,Nanticoke,PA,11826,10195,6532
GREEN WOODS CS,Philadelphia,PA,10113,7832,4444
GREENCASTLE-ANTRIM SD,Greencastle,PA,13091,10751,7110
GREENSBURG SALEM SD,Greensburg,PA,14244,11766,7271
GREENVILLE AREA SD,Greenville,PA,13664,12061,7566
GREENWOOD SD,Millerstown,PA,15479,13726,8163
GROVE CITY AREA SD,Grove City,PA,13890,12832,8925
HALIFAX AREA SD,Halifax,PA,27210,15716,9206
HAMBURG AREA SD,Hamburg,PA,18188,14082,8270
HAMPTON TOWNSHIP SD,Allison Park,PA,14933,13298,8322
HANOVER AREA SD,Hanover Township,PA,14586,11725,7234
HANOVER PUBLIC SD,Hanover,PA,16332,13072,8754
HARAMBEE INSTITUTE OF SCIENCE AND TECHNOLOGY CS,Philadelphia,PA,10874,10768,6279
HARBOR CREEK SD,Harborcreek,PA,15545,11825,7359
HARMONY AREA SD,Westover,PA,23706,17981,10987
HARRISBURG CITY SD,Harrisburg,PA,20067,13631,8268
HATBORO-HORSHAM SD,Horsham,PA,18876,16550,10355
HAVERFORD TOWNSHIP SD,Havertown,PA,17139,14785,9413
HAZLETON AREA SD,Hazle Twp,PA,12874,11127,7447
HELEN THACKSTON CHARTER SCHOOL,York,PA,12486,12164,5385
HEMPFIELD  SD,Landisville,PA,15811,13967,9256
HEMPFIELD AREA SD,Greensburg,PA,14339,12359,8248
HERMITAGE SD,Hermitage,PA,13836,12032,7983
HIGHLANDS SD,Natrona Heights,PA,16244,14239,8950
HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,Pittsburgh,PA,29279,25279,14809
HOLLIDAYSBURG AREA SD,Hollidaysburg,PA,12887,11315,6856
HOMER-CENTER SD,Homer City,PA,17897,15173,9616
HOPE FOR HYNDMAN CS,Hyndman,PA,12040,11114,6498
HOPEWELL AREA SD,Aliquippa,PA,15683,13796,8513
HOWARD GARDNER MULTIPLE INTELLIGENCE CS,Scranton,PA,8283,7914,4762
HUNTINGDON AREA SD,Huntingdon,PA,13020,10891,6258
I-LEAD CHARTER SCHOOL,Reading,PA,10785,10669,4578
IMHOTEP INSTITUTE CHS,Philadelphia,PA,13320,13279,7409
INDEPENDENCE CS,Philadelphia,PA,11763,11248,6371
INDIANA AREA SD,Indiana,PA,17533,15876,10887
INFINITY CS,Harrisburg,PA,11662,8351,4980
INQUIRY CHARTER SCHOOL,Philadelphia,PA,22416,21770,5752
INTERBORO SD,Prospect Park,PA,19972,15657,9803
IROQUOIS SD,Erie,PA,14548,12415,8163
JAMESTOWN AREA SD,Jamestown,PA,16728,14295,7825
JEANNETTE CITY SD,Jeannette,PA,17084,13227,7924
JEFFERSON-MORGAN SD,Jefferson,PA,16769,13936,8574
JENKINTOWN SD,Jenkintown,PA,22267,19546,12608
JERSEY SHORE AREA SD,Jersey Shore,PA,15292,12882,8257
JIM THORPE AREA SD,Jim Thorpe,PA,17296,13066,7571
JOHN B STETSON CHARTER SCHOOL,Philadelphia,PA,13967,13315,8522
JOHNSONBURG AREA SD,Johnsonburg,PA,16785,15645,9186
JUNIATA COUNTY SD,Mifflintown,PA,15913,10420,6505
JUNIATA VALLEY SD,Alexandria,PA,13819,11984,7416
KANE AREA SD,Kane,PA,13903,12638,7732
KARNS CITY AREA SD,Karns City,PA,14690,13010,7890
KENNETT CONSOLIDATED SD,Kennett Square,PA,16883,13476,7917
KEYSTONE  SD,Knox,PA,14488,12573,7671
KEYSTONE ACADEMY CHARTER SCHOOL,Philadelphia,PA,9881,9783,5242
KEYSTONE CENTRAL SD,Mill Hall,PA,16361,14612,9318
KEYSTONE EDUCATION CENTER CS,Greenville,PA,15227,14534,8940
KEYSTONE OAKS SD,Pittsburgh,PA,17909,15843,9441
KIPP PHILADELPHIA CHARTER SCHOOL,Philadelphia,PA,15272,13960,8036
KIPP WEST PHILADELPHIA PREPARATORY CHARTER SCHOOL,Philadelphia,PA,11665,11196,7105
KISKI AREA SD,Vandergrift,PA,14600,10925,6325
KUTZTOWN AREA SD,Kutztown,PA,21074,18350,11277
LA ACADEMIA PARTNERSHIP CHARTER SCHOOL,Lancaster,PA,16148,15745,8893
LABORATORY CS,Philadelphia,PA,10710,10214,5155
LACKAWANNA TRAIL SD,Factoryville,PA,19749,17843,11339
LAKE-LEHMAN SD,Lehman,PA,14028,12636,7934
LAKELAND SD,Scott Township,PA,14504,11877,7301
LAKEVIEW SD,Stoneboro,PA,15502,12819,8092
LAMPETER-STRASBURG SD,Lampeter,PA,14538,12779,8161
LANCASTER SD,Lancaster,PA,16648,14388,9373
LAUREL HIGHLANDS SD,Uniontown,PA,17123,12178,7621
LAUREL SD,New Castle,PA,14508,12766,7673
LEBANON SD,Lebanon,PA,12661,10663,6316
LEECHBURG AREA SD,Leechburg,PA,15806,14248,9323
LEHIGH VALLEY ACADEMY REGIONAL CS,Bethlehem,PA,10815,10240,5455
LEHIGH VALLEY CHARTER HIGH SCHOOL FOR THE ARTS,Bethlehem,PA,47044,11895,6263
LEHIGH VALLEY DUAL LANGUAGE CHARTER SCHOOL,Bethlehem,PA,10869,10733,6108
LEHIGHTON AREA SD,Lehighton,PA,15654,12573,8005
LEWISBURG AREA SD,Lewisburg,PA,17330,12815,8311
LIGONIER VALLEY SD,Ligonier,PA,16569,13731,7711
LINCOLN CS,York,PA,9829,8864,5740
LINCOLN LEADERSHIP ACADEMY CHARTER SCHOOL,Allentown,PA,11436,11145,6426
LINCOLN PARK PERFORMING ARTS CS,Midland,PA,12424,11930,5402
LINE MOUNTAIN SD,Herndon,PA,14093,12186,6909
LITTLESTOWN AREA SD,Littlestown,PA,14480,11739,7677
LOWER DAUPHIN SD,Hummelstown,PA,15480,12932,8344
LOWER MERION SD,Ardmore,PA,28101,23676,15230
LOWER MORELAND TOWNSHIP SD,Huntingdon Valley,PA,20274,16966,11170
LOYALSOCK TOWNSHIP SD,Williamsport,PA,14622,11341,6687
MAHANOY AREA SD,Mahanoy City,PA,17842,14295,8360
MANCHESTER ACADEMIC CS,Pittsburgh,PA,15478,13013,9862
MANHEIM CENTRAL SD,Manheim,PA,16967,13335,8030
MANHEIM TOWNSHIP SD,Lancaster,PA,13589,11348,6929
MARIANA BRACETTI ACADEMY CS,Philadelphia,PA,11335,10855,5544
MARION CENTER AREA SD,Marion Center,PA,15091,13906,8424
MARITIME ACADEMY CHARTER SCHOOL,Philadelphia,PA,11189,10503,5631
MARPLE NEWTOWN SD,Newtown Square,PA,21774,18129,10493
MARS AREA SD,Mars,PA,12502,10758,6445
MAST COMMUNITY CHARTER SCHOOL,Philadelphia,PA,11689,11387,6117
MASTERY CHS - LENFEST CAMPUS,Philadelphia,PA,43442,41169,12442
MASTERY CS - CLEVELAND ELEMENTARY,Philadelphia,PA,13288,12450,8529
MASTERY CS - FRANCIS D. PASTORIUS ELEMENTARY,Philadelphia,PA,11195,10661,7014
MASTERY CS - HARDY WILLIAMS,Philadelphia,PA,18254,17752,7902
MASTERY CS-CLYMER ELEMENTARY,Philadelphia,PA,13737,13169,9278
MASTERY CS-GRATZ CAMPUS,Philadelphia,PA,14243,13431,8134
MASTERY CS-HARRITY CAMPUS,Philadelphia,PA,12450,12190,8434
MASTERY CS-MANN CAMPUS,Philadelphia,PA,11756,11315,7376
MASTERY CS-PICKETT CAMPUS,Philadelphia,PA,14037,13178,8251
MASTERY CS-SHOEMAKER CAMPUS,Philadelphia,PA,14026,13420,8411
MASTERY CS-SMEDLEY CAMPUS,Philadelphia,PA,12422,12045,8687
MASTERY CS-THOMAS CAMPUS,Philadelphia,PA,11643,11308,7264
MATH CIVICS AND SCIENCES CS,Philadelphia,PA,9708,9581,5459
MCGUFFEY SD,Claysville,PA,18768,14963,8602
MCKEESPORT AREA SD,Mc Keesport,PA,21955,15398,8508
MECHANICSBURG AREA SD,Mechanicsburg,PA,14366,12482,8262
MEMPHIS STREET ACADEMY CS @ JP JONES,Philadelphia,PA,12384,11945,6347
MERCER AREA SD,Mercer,PA,14703,12751,7875
METHACTON SD,Eagleville,PA,20222,16859,10452
MEYERSDALE AREA SD,Meyersdale,PA,15294,13847,8143
MID VALLEY SD,Throop,PA,13831,10983,6875
MIDD-WEST SD,Middleburg,PA,14450,11188,6621
MIDDLETOWN AREA SD,Middletown,PA,23645,13907,8253
MIDLAND BOROUGH SD,Midland,PA,24420,15612,7689
MIFFLIN COUNTY SD,Lewistown,PA,14595,11566,7118
MIFFLINBURG AREA SD,Mifflinburg,PA,13810,11820,7172
MILLCREEK TOWNSHIP SD,Erie,PA,13912,11205,6799
MILLERSBURG AREA SD,Millersburg,PA,18063,15567,9746
MILLVILLE AREA SD,Millville,PA,16110,14214,7963
MILTON AREA SD,Milton,PA,16311,13116,8371
MINERSVILLE AREA SD,Minersville,PA,18282,10979,6434
MOHAWK AREA SD,Bessemer,PA,15985,13876,9114
MONESSEN CITY SD,Monessen,PA,15989,13481,7955
MONITEAU SD,West Sunbury,PA,14519,12223,6853
MONTESSORI REGIONAL CS,Erie,PA,10372,9207,5607
MONTGOMERY AREA SD,Montgomery,PA,15216,13210,8326
MONTOUR SD,Mc Kees Rocks,PA,23731,17852,10750
MONTOURSVILLE AREA SD,Montoursville,PA,14343,11578,7261
MONTROSE AREA SD,Montrose,PA,17430,15977,9602
MOON AREA SD,Moon Township,PA,17966,14523,9152
MORRISVILLE BOROUGH SD,Morrisville,PA,18846,14390,9537
MOSHANNON VALLEY SD,Houtzdale,PA,15365,12675,7411
MOUNT CARMEL AREA SD,Mount Carmel,PA,11870,10292,6759
