Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
IOWA CITY COMM SCHOOL DISTRICT,Iowa City,IA,13844,10289,6844
IOWA FALLS COMM SCHOOL DISTRICT,Iowa Falls,IA,12699,10970,7248
IOWA VALLEY COMM SCHOOL DISTRICT,Marengo,IA,11947,9087,6157
JANESVILLE CONSOLIDATED SCHOOL DISTRICT,Janesville,IA,10100,7652,4903
JESUP COMM SCHOOL DISTRICT,Jesup,IA,10896,9209,6229
JOHNSTON COMM SCHOOL DISTRICT,Johnston,IA,15054,9776,6606
KEOKUK COMM SCHOOL DISTRICT,Keokuk,IA,11347,10311,6752
KEOTA COMM SCHOOL DISTRICT,Keota,IA,12118,8794,5979
KINGSLEY-PIERSON COMM SCHOOL DISTRICT,Kingsley,IA,12092,10385,6709
KNOXVILLE COMM SCHOOL DISTRICT,Knoxville,IA,11230,9542,6317
LAKE MILLS COMM SCHOOL DISTRICT,Lake Mills,IA,12691,11172,7353
LAMONI COMM SCHOOL DISTRICT,Lamoni,IA,13289,12201,8024
LAURENS-MARATHON COMM SCHOOL DISTRICT,Laurens,IA,11227,9272,6161
LAWTON-BRONSON COMM SCHOOL DISTRICT,Lawton,IA,11794,9979,6491
LE MARS COMM SCHOOL DISTRICT,Le Mars,IA,10556,9419,6399
LENOX COMM SCHOOL DISTRICT,Lenox,IA,11192,9429,6308
LEWIS CENTRAL COMM SCHOOL DISTRICT,Council Bluffs,IA,12596,11322,7504
LINN-MAR COMM SCHOOL DISTRICT,Marion,IA,11841,9517,5847
LISBON COMM SCHOOL DISTRICT,Lisbon,IA,12680,8785,5365
LOGAN-MAGNOLIA COMM SCHOOL DISTRICT,Logan,IA,12500,11061,7284
LONE TREE COMM SCHOOL DISTRICT,Lone Tree,IA,11986,10450,6559
LOUISA-MUSCATINE COMM SCHOOL DISTRICT,Letts,IA,10645,9864,6366
LUVERNE COMM SCHOOL DISTRICT,LuVerne,IA,17457,14852,8519
LYNNVILLE-SULLY COMM SCHOOL DISTRICT,Sully,IA,13150,10713,6554
MADRID COMM SCHOOL DISTRICT,Madrid,IA,11488,9260,6149
MANSON NORTHWEST WEBSTER COMM SCHOOL DISTRICT,Manson,IA,14907,12061,7265
MAPLE VALLEY-ANTHON OTO COMM SCHOOL DISTRICT,Mapleton,IA,13176,10934,6793
MAQUOKETA COMM SCHOOL DISTRICT,Maquoketa,IA,12215,10890,7312
MAQUOKETA VALLEY COMM SCHOOL DISTRICT,Delhi,IA,10652,9108,5689
MARCUS-MERIDEN-CLEGHORN COMM SCHOOL DISTRICT,Marcus,IA,11053,9175,5632
MARION INDEPENDENT SCHOOL DISTRICT,Marion,IA,12597,10922,7459
MARSHALLTOWN COMM SCHOOL DISTRICT,Marshalltown,IA,12617,9977,6640
MARTENSDALE-ST MARYS COMM SCHOOL DISTRICT,Martensdale,IA,11782,9482,6111
MASON CITY COMM SCHOOL DISTRICT,Mason City,IA,12766,9938,6677
MEDIAPOLIS COMM SCHOOL DISTRICT,Mediapolis,IA,15312,11292,7528
MELCHER-DALLAS COMM SCHOOL DISTRICT,Melcher-Dallas,IA,10276,9193,6201
MFL MARMAC COMM SCHOOL DISTRICT,Monona,IA,11891,10511,6818
MID-PRAIRIE COMM SCHOOL DISTRICT,Wellman,IA,15476,11805,7765
MIDLAND COMM SCHOOL DISTRICT,Wyoming,IA,11681,9296,5388
MISSOURI VALLEY COMM SCHOOL DISTRICT,Missouri Valley,IA,11457,9070,5793
MOC-FLOYD VALLEY COMM SCHOOL DISTRICT,Orange City,IA,12850,9583,6472
MONTEZUMA COMM SCHOOL DISTRICT,Montezuma,IA,14850,9946,6791
MONTICELLO COMM SCHOOL DISTRICT,Monticello,IA,11222,10210,6448
MORAVIA COMM SCHOOL DISTRICT,Moravia,IA,20712,11038,7222
MORMON TRAIL COMM SCHOOL DISTRICT,Humeston,IA,12414,10456,6977
MORNING SUN COMM SCHOOL DISTRICT,Morning Sun,IA,12892,9974,7264
MOULTON-UDELL COMM SCHOOL DISTRICT,Moulton,IA,10710,8755,5610
MOUNT AYR COMM SCHOOL DISTRICT,Mount Ayr,IA,11561,10090,6517
MOUNT PLEASANT COMM SCHOOL DISTRICT,Mount Pleasant,IA,10949,10274,7067
MOUNT VERNON COMM SCHOOL DISTRICT,Mount Vernon,IA,12946,11237,7275
